,Giardiasis
2018-07-09,525.4169883728027
2018-07-16,521.9883389472961
2018-07-23,520.9427390098572
2018-07-30,522.4966249465942
2018-08-06,518.8228507041931
2018-08-13,517.286406993866
2018-08-20,518.8263306617737
2018-08-27,516.1091628074646
2018-09-03,518.0265769958496
2018-09-10,520.261134147644
2018-09-17,515.7070155143738
2018-09-24,515.7793307304382
2018-10-01,517.2491459846497
2018-10-08,520.5750942230225
2018-10-15,520.2314696311951
2018-10-22,524.4990010261536
2018-10-29,522.4072070121765
2018-11-05,519.4775071144104
2018-11-12,525.2684960365295
2018-11-19,534.4201903343201
2018-11-26,527.5807580947876
2018-12-03,522.7420468330383
2018-12-10,524.616895198822
2018-12-17,529.4085421562195
2018-12-24,531.3491702079773
2018-12-31,553.1887474060059
2019-01-07,552.4178943634033
2019-01-14,544.8464403152466
2019-01-21,547.455644607544
2019-01-28,552.833240032196
2019-02-04,540.0041642189026
2019-02-11,540.4229474067688
2019-02-18,545.0779423713684
2019-02-25,545.3913083076477
2019-03-04,537.4143967628479
2019-03-11,545.2888617515564
2019-03-18,537.6251039505005
2019-03-25,536.8345594406128
2019-04-01,533.0111470222473
2019-04-08,533.2214298248291
2019-04-15,537.2741799354553
2019-04-22,537.5865273475647
2019-04-29,529.2030549049377
2019-05-06,526.8144035339355
2019-05-13,542.0215635299683
2019-05-20,539.2067022323608
2019-05-27,536.5369381904602
2019-06-03,531.9242119789124
2019-06-10,533.2162098884583
2019-06-17,542.6253786087036
2019-06-24,523.3504452705383
2019-07-01,522.4517674446106
2019-07-08,525.3175549507141
2019-07-15,530.3837790489197
2019-07-22,532.643162727356
2019-07-29,522.5750088691711
2019-08-05,522.2060060501099
2019-08-12,522.1684055328369
2019-08-19,519.5323376655579
2019-08-26,515.953583240509
2019-09-02,515.7999558448792
2019-09-09,519.2947244644165
2019-09-16,520.4517679214478
2019-09-23,517.2280964851379
2019-09-30,516.3610353469849
2019-10-07,516.3772892951965
2019-10-14,524.0829339027405
2019-10-21,519.4634599685669
2019-10-28,523.7008600234985
2019-11-04,530.589605808258
2019-11-11,521.5429468154907
2019-11-18,519.0420031547546
2019-11-25,568.1684370040894
2019-12-02,541.4371428489685
2019-12-09,549.0198006629944
2019-12-16,542.5226349830627
2019-12-23,551.8255376815796
2019-12-30,552.7826533317566
2020-01-06,568.770809173584
2020-01-13,271.5172462463379
2020-01-20,154.8356478214264
2020-01-27,148.35635936260223
2020-02-03,147.1313294172287
2020-02-10,135.4575995206833
2020-02-17,129.22120785713196
2020-02-24,123.80106782913207
2020-03-02,117.72008597850798
2020-03-09,99.67207640409468
2020-03-16,74.800108730793
2020-03-23,68.0966123342514
2020-03-30,64.17076927423477
2020-04-06,61.87209019064903
2020-04-13,56.03344017267227
2020-04-20,53.067269682884216
2020-04-27,53.346899658441544
2020-05-04,55.94847032427788
2020-05-11,61.259278148412704
2020-05-18,68.4369452893734
2020-05-25,77.78019905090332
2020-06-01,88.55196213722229
2020-06-08,109.71131372451781
2020-06-15,129.2437002658844
2020-06-22,146.1177705526352
2020-06-29,161.15179204940796
2020-07-06,174.3034429550171
2020-07-13,203.50630271434784
2020-07-20,218.95322966575623
2020-07-27,226.94251203536987
2020-08-03,231.3740258216858
