Date,Month,WeekOfYear,Year,Week,Chlamydia,Dengue,Giardiasis,Gonorrhea,Haemophilus,HepatitisA,HepatitisB,HepatitisC,Legionellosis,Lyme disease,Malaria,Syphilis,chickenpox
2009-06-08,6,24,2009,24,11677,0,170,2587,24,21,27,0,22,145,9,76,93
2009-06-15,6,25,2009,25,8223,0,139,1583,17,15,6,0,34,223,4,68,51
2009-06-22,6,26,2009,26,12578,0,147,2972,30,13,21,0,34,232,9,89,58
2009-06-29,6,27,2009,27,10176,0,189,2584,22,16,16,0,45,431,8,77,101
2009-07-06,7,28,2009,28,12097,0,258,2833,33,18,21,0,64,439,20,134,52
2009-07-13,7,29,2009,29,9509,0,268,2142,23,24,41,0,53,549,10,101,57
2009-07-20,7,30,2009,30,13927,0,269,3238,36,23,45,0,47,582,18,124,59
2009-07-27,7,31,2009,31,11145,0,222,2857,14,21,19,0,43,578,25,121,49
2009-08-03,8,32,2009,32,13102,0,243,3246,33,16,32,0,56,538,16,119,43
2009-08-10,8,33,2009,33,11928,0,290,3093,22,26,38,0,96,472,24,113,53
2009-08-17,8,34,2009,34,14167,0,255,3446,25,16,25,0,47,359,19,161,44
2009-08-24,8,35,2009,35,12719,0,210,3125,23,22,20,0,51,308,11,117,52
2009-08-31,8,36,2009,36,11558,0,219,2989,25,22,31,0,48,410,12,102,60
2009-09-07,9,37,2009,37,9302,0,235,2130,20,17,23,0,41,187,6,80,74
2009-09-14,9,38,2009,38,12662,0,233,3072,25,21,37,0,48,247,11,135,101
2009-09-21,9,39,2009,39,13167,0,267,3693,10,14,17,0,51,272,6,137,134
2009-09-28,9,40,2009,40,13358,0,307,3091,23,25,31,0,37,357,23,103,188
2009-10-05,10,41,2009,41,11408,0,232,2749,12,7,27,0,29,253,10,108,118
2009-10-12,10,42,2009,42,9302,0,188,2240,20,10,22,0,35,181,5,95,94
2009-10-19,10,43,2009,43,10351,0,200,2459,16,14,34,0,47,218,9,83,119
2009-10-26,10,44,2009,44,11243,0,195,2490,22,13,37,0,38,230,8,100,99
2009-11-02,11,45,2009,45,10434,0,304,2291,26,28,34,0,44,169,14,88,94
2009-11-09,11,46,2009,46,10101,0,174,2261,21,9,28,0,25,230,2,66,109
2009-11-16,11,47,2009,47,8184,0,142,2025,19,13,23,0,39,191,7,103,64
2009-11-23,11,48,2009,48,6902,0,203,1453,17,10,14,0,21,153,7,81,65
2009-11-30,11,49,2009,49,13457,0,249,3208,33,20,33,0,28,265,17,112,58
2009-12-07,12,50,2009,50,13340,0,186,3214,37,21,33,0,31,191,21,124,171
2009-12-14,12,51,2009,51,9779,0,188,2181,34,20,42,0,26,189,11,78,103
2009-12-21,12,52,2009,52,5332,0,177,1158,30,22,22,0,20,174,6,47,57
2009-12-28,12,53,2009,53,7279,0,150,1584,48,19,22,0,33,157,12,64,40
2010-01-04,1,1,2010,1,8474,0,93,2171,22,8,17,2,14,26,7,71,87
2010-01-11,1,2,2010,2,7937,0,128,2150,26,10,22,6,22,26,7,83,93
2010-01-18,1,3,2010,3,9266,0,154,2090,25,8,20,4,22,39,13,75,102
2010-01-25,1,4,2010,4,10965,0,182,2613,28,16,31,6,24,83,14,103,106
2010-02-01,2,5,2010,5,9713,0,191,2254,35,26,25,9,17,58,12,90,124
2010-02-08,2,6,2010,6,7555,0,171,1630,26,20,21,4,14,42,15,65,108
2010-02-15,2,7,2010,7,9345,0,170,2130,18,11,29,5,26,44,22,81,128
2010-02-22,2,8,2010,8,11417,0,204,2504,33,17,27,12,17,51,10,78,119
2010-03-01,3,9,2010,9,9521,0,154,2031,25,21,25,9,19,54,6,72,195
2010-03-08,3,10,2010,10,11791,0,182,2572,22,10,26,4,18,46,10,86,206
2010-03-15,3,11,2010,11,10590,0,234,2357,22,25,24,10,15,63,13,81,219
2010-03-22,3,12,2010,12,10241,0,194,2167,31,20,37,9,24,78,9,77,149
2010-03-29,3,13,2010,13,8689,0,186,1819,32,10,26,7,21,60,7,91,153
2010-04-05,4,14,2010,14,9426,0,247,2240,30,10,31,8,23,76,7,71,164
2010-04-12,4,15,2010,15,11680,0,149,2424,38,10,24,7,16,88,9,72,242
2010-04-19,4,16,2010,16,10630,0,171,2131,27,10,39,7,14,90,12,74,244
2010-04-26,4,17,2010,17,9399,0,208,2169,22,14,33,12,13,66,10,75,224
2010-05-03,5,18,2010,18,8799,0,278,1947,21,22,26,6,21,90,9,42,316
2010-05-10,5,19,2010,19,9924,0,206,2165,27,19,23,14,26,107,13,63,181
2010-05-17,5,20,2010,20,10705,0,193,2305,19,22,25,9,29,138,13,64,265
2010-05-24,5,21,2010,21,8769,0,183,1980,22,13,26,7,37,125,6,47,322
2010-05-31,5,22,2010,22,8828,0,138,2052,22,12,13,6,30,110,7,69,230
2010-06-07,6,23,2010,23,13156,0,172,3045,23,17,27,9,36,256,12,107,139
2010-06-14,6,24,2010,24,12632,0,201,2905,37,22,40,8,38,193,16,61,140
2010-06-21,6,25,2010,25,11947,0,203,2685,25,8,26,7,52,259,12,71,120
2010-06-28,6,26,2010,26,10018,0,200,2351,27,14,30,9,60,374,13,84,63
2010-07-05,7,27,2010,27,9106,0,147,2088,25,14,16,8,35,203,8,55,44
2010-07-12,7,28,2010,28,11253,0,222,2830,23,11,30,4,35,455,11,87,70
2010-07-19,7,29,2010,29,11294,0,237,2697,24,14,36,12,32,407,18,84,89
2010-07-26,7,30,2010,30,11017,0,246,2567,19,15,35,16,41,326,21,84,64
2010-08-02,8,31,2010,31,12015,0,230,2879,19,26,38,6,33,308,22,81,62
2010-08-09,8,32,2010,32,13225,0,227,3258,18,25,35,9,54,255,49,100,61
2010-08-16,8,33,2010,33,11450,0,243,2762,14,15,26,9,52,312,20,109,84
2010-08-23,8,34,2010,34,13226,0,273,3097,23,20,46,9,40,245,22,99,87
2010-08-30,8,35,2010,35,11373,0,241,2953,20,20,34,11,39,196,20,87,94
2010-09-06,9,36,2010,36,10836,0,223,2594,11,20,31,7,41,220,18,70,102
2010-09-13,9,37,2010,37,11327,0,274,2872,20,22,41,15,34,265,25,71,140
2010-09-20,9,38,2010,38,13553,0,244,3255,33,29,33,7,31,191,16,112,175
2010-09-27,9,39,2010,39,13350,0,251,3126,21,14,26,26,45,199,24,113,154
2010-10-04,10,40,2010,40,13257,0,229,3002,17,24,45,45,35,186,20,83,146
2010-10-11,10,41,2010,41,11466,0,233,2933,17,21,31,5,46,249,21,98,127
2010-10-18,10,42,2010,42,14906,0,263,3549,41,24,41,5,72,150,21,79,210
2010-10-25,10,43,2010,43,13084,0,192,3026,19,14,25,4,51,111,4,103,152
2010-11-01,11,44,2010,44,9957,0,221,2076,22,21,28,5,24,127,14,67,184
2010-11-08,11,45,2010,45,10790,0,178,2334,23,16,32,13,24,86,15,50,116
2010-11-15,11,46,2010,46,9338,0,206,2101,35,20,27,11,51,106,11,53,173
2010-11-22,11,47,2010,47,7620,0,121,1849,24,15,17,4,23,67,11,46,100
2010-11-29,11,48,2010,48,11987,0,200,2918,45,23,23,7,41,130,16,79,261
2010-12-06,12,49,2010,49,12825,0,219,2956,41,15,26,5,29,88,17,89,181
2010-12-13,12,50,2010,50,10376,0,195,2582,34,13,35,5,25,102,14,43,177
2010-12-20,12,51,2010,51,7158,0,153,1750,15,7,23,3,21,103,8,29,96
2010-12-27,12,52,2010,52,7549,0,150,1974,20,16,19,2,21,61,13,48,82
2011-01-03,1,1,2011,1,9393,0,132,2253,30,6,17,6,20,35,7,40,62
2011-01-10,1,2,2011,2,9996,0,134,2452,32,19,10,0,28,28,15,40,135
2011-01-17,1,3,2011,3,10001,0,99,2494,36,13,7,3,14,25,8,53,101
2011-01-24,1,4,2011,4,11722,0,140,2775,35,15,34,4,19,42,12,51,133
2011-01-31,1,5,2011,5,11345,0,164,2593,26,18,24,4,21,33,10,66,83
2011-02-07,2,6,2011,6,13224,0,175,2948,27,12,17,5,23,36,12,76,151
2011-02-14,2,7,2011,7,12957,0,136,2952,30,19,15,7,23,41,5,107,123
2011-02-21,2,8,2011,8,9568,0,126,2255,24,9,27,14,23,33,7,78,136
2011-02-28,2,9,2011,9,12853,0,160,2577,19,14,20,5,26,34,5,59,139
2011-03-07,3,10,2011,10,14855,0,168,2630,24,16,24,11,29,49,8,68,188
2011-03-14,3,11,2011,11,12076,0,164,2588,31,11,14,7,19,37,9,67,127
2011-03-21,3,12,2011,12,14057,0,163,2893,32,14,20,7,23,79,11,80,139
2011-03-28,3,13,2011,13,10728,0,172,2147,30,12,23,13,21,45,7,51,163
2011-04-04,4,14,2011,14,11485,0,180,2389,38,19,25,13,21,49,7,44,127
2011-04-11,4,15,2011,15,13325,0,202,2639,19,9,19,11,21,72,12,92,140
2011-04-18,4,16,2011,16,11427,0,130,2406,27,11,12,9,19,48,5,32,124
2011-04-25,4,17,2011,17,13968,0,114,3033,22,6,16,10,15,52,10,92,157
2011-05-02,5,18,2011,18,10421,0,154,2103,31,14,14,7,15,40,7,68,143
2011-05-09,5,19,2011,19,13912,0,147,3188,36,19,18,12,24,125,15,68,175
2011-05-16,5,20,2011,20,15504,0,134,3465,43,12,9,8,18,154,16,82,172
2011-05-23,5,21,2011,21,12439,0,137,2791,40,14,18,12,23,177,12,72,130
2011-05-30,5,22,2011,22,10175,0,123,2170,37,4,20,2,26,147,8,53,148
2011-06-06,6,23,2011,23,12819,0,147,3044,36,12,24,6,38,233,15,69,148
2011-06-13,6,24,2011,24,11452,0,143,2673,31,12,15,11,17,283,13,55,93
2011-06-20,6,25,2011,25,11651,0,144,2710,18,12,29,7,23,361,14,55,67
2011-06-27,6,26,2011,26,9778,0,124,2123,22,7,17,10,24,586,15,58,156
2011-07-04,7,27,2011,27,8596,0,141,2030,28,11,13,9,34,469,10,40,42
2011-07-11,7,28,2011,28,10304,0,161,2337,31,10,12,10,63,697,21,45,74
2011-07-18,7,29,2011,29,10538,0,178,2419,20,9,27,4,53,767,13,58,74
2011-07-25,7,30,2011,30,10173,0,187,2427,17,13,19,13,39,528,11,78,81
2011-08-01,8,31,2011,31,11464,0,236,2651,26,5,20,15,35,461,22,122,57
2011-08-08,8,32,2011,32,12020,0,232,3003,16,9,22,11,35,491,15,96,99
2011-08-15,8,33,2011,33,12479,0,191,3070,25,13,11,10,47,249,17,76,58
2011-08-22,8,34,2011,34,13958,0,240,3192,19,24,43,17,50,425,20,93,100
2011-08-29,8,35,2011,35,12431,0,178,3039,20,11,14,5,62,259,19,99,74
2011-09-05,9,36,2011,36,10093,0,199,2490,18,11,24,18,60,280,15,62,113
2011-09-12,9,37,2011,37,13239,0,228,3366,25,15,30,9,62,372,18,86,75
2011-09-19,9,38,2011,38,13595,0,245,3476,12,14,73,10,86,372,19,112,130
2011-09-26,9,39,2011,39,12763,0,199,3130,20,11,24,15,68,324,16,79,166
2011-10-03,10,40,2011,40,12573,0,216,3093,25,13,20,8,75,356,10,76,185
2011-10-10,10,41,2011,41,12942,0,200,3232,28,12,13,9,77,314,16,66,106
2011-10-17,10,42,2011,42,14140,0,207,3228,26,9,21,8,48,311,8,116,138
2011-10-24,10,43,2011,43,11158,0,183,2368,26,10,23,4,51,358,17,55,208
2011-10-31,10,44,2011,44,11034,0,195,2668,27,16,22,8,64,315,13,74,149
2011-11-07,11,45,2011,45,9470,0,135,2241,28,10,15,16,45,222,13,43,155
2011-11-14,11,46,2011,46,11031,0,160,2770,28,8,29,6,37,259,6,68,146
2011-11-21,11,47,2011,47,6921,0,102,1733,26,9,15,5,37,182,5,48,104
2011-11-28,11,48,2011,48,13211,0,154,3192,36,5,16,7,31,284,9,88,126
2011-12-05,12,49,2011,49,15075,0,146,3617,35,15,16,11,36,200,7,100,171
