,Date,Giardiasis
164,2020-02-24,131.01177289998662
165,2020-03-02,142.26196093578912
166,2020-03-09,139.17343805750295
167,2020-03-16,128.3797407257673
168,2020-03-23,171.36436012671135
169,2020-03-30,132.73308009570198
170,2020-04-06,159.32122690238313
171,2020-04-13,126.70382318400985
172,2020-04-20,145.7915939190861
173,2020-04-27,148.65918567326182
174,2020-05-04,102.33585535822918
175,2020-05-11,144.40899763745938
176,2020-05-18,95.15956174486679
177,2020-05-25,113.57066279497568
178,2020-06-01,213.09954363506282
179,2020-06-08,124.30659844653712
180,2020-06-15,113.68844258495392
181,2020-06-22,98.10104792148266
182,2020-06-29,90.10912393586906
183,2020-07-06,109.63624975378835
184,2020-07-13,142.31206912530732
185,2020-07-20,135.71059653058816
186,2020-07-27,139.48755620018866
