,Date,chickenpox
164,2020-02-24,53.784778567844086
165,2020-03-02,48.954624483809454
166,2020-03-09,49.638424442832985
167,2020-03-16,54.87920753707753
168,2020-03-23,52.55902020443653
169,2020-03-30,53.58816601235381
170,2020-04-06,56.96894042502386
171,2020-04-13,53.4064774095856
172,2020-04-20,57.19021002923213
173,2020-04-27,56.93478916732863
174,2020-05-04,59.23115479791062
175,2020-05-11,54.62129139505494
176,2020-05-18,53.079351088939916
177,2020-05-25,49.82694953551522
178,2020-06-01,54.498918307167564
179,2020-06-08,44.8013324810651
180,2020-06-15,45.110992914535785
181,2020-06-22,39.503248156700636
182,2020-06-29,38.03609617461798
183,2020-07-06,40.742456969157104
184,2020-07-13,39.913103069753554
185,2020-07-20,40.0455836619046
186,2020-07-27,39.68348047987363
